,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
2202,Sector 82,4,4,4,2160.0,Super Built-up,East,RESALE,House,5.95,5.451621621621622,Low,Low Floor
2203,Palam Vihar,9,8,9,2430.0,Super Built-up,North,RESALE,House,7.5,6.513333333333333,Low,Low Floor
2204,Palam Vihar,6,5,6,4680.0,Super Built-up,Unknown,RESALE,House,4.75,6.513333333333333,Low,Low Floor
2205,Sector 56,4,4,4,1449.0,Super Built-up,Unknown,RESALE,House,5.0,4.152083333333334,Low,Low Floor
2206,S Block DLF Phase 3,2,2,2,540.0,Super Built-up,East,RESALE,House,1.79,11.93,Medium,Low Floor
2207,Block E sector 56,4,4,4,540.0,Super Built-up,Unknown,RESALE,House,3.0,3.0,Low,Low Floor
2208,Block G Sector-57,6,5,6,2160.0,Super Built-up,Unknown,RESALE,House,6.1,6.1,Low,Low Floor
2209,DLF Phase 5,3,3,3,270.0,Super Built-up,East,RESALE,House,3.45,6.720000000000001,Low,Low Floor
2210,Palam Vihar,4,4,4,594.0,Covered,Unknown,RESALE,House,1.75,6.513333333333333,Medium,Low Floor
2211,Sector 33,5,6,5,4500.0,Built-up,North,RESALE,House,11.0,13.652424242424244,High,Mid Floor
2212,DLF Phase 4,5,4,5,3240.0,Super Built-up,North-East,RESALE,House,10.75,14.622,Low,Low Floor
2213,Sector 33,5,6,5,4500.0,Built-up,North,RESALE,House,11.7,13.652424242424244,High,Mid Floor
2214,Sushant Lok Phase 1,5,6,5,8000.0,Built-up,Unknown,RESALE,House,12.75,12.1676,Low,Low Floor
2215,Malibu Town,6,7,6,9500.0,Built-up,Unknown,RESALE,House,13.5,10.055652173913044,Low,Low Floor
2216,Sector 46,6,6,6,1449.0,Super Built-up,North-East,RESALE,House,5.4,10.24962962962963,Low,Low Floor
2217,Sector 46,9,9,9,2367.0,Super Built-up,North-East,RESALE,House,8.54,10.24962962962963,Medium,Low Floor
2218,"Block C, Sushant Lok Phase 1",5,3,5,1935.0,Super Built-up,North,RESALE,House,8.5,8.013333333333334,Medium,Low Floor
2219,Sushant Lok Phase 1,10,10,10,540.0,Super Built-up,East,RESALE,House,4.0,12.1676,Low,Low Floor
2220,Sector 23A,6,4,6,2367.0,Super Built-up,North,RESALE,House,5.9,5.17,Medium,Low Floor
2221,Sector 4,2,1,2,4500.0,Super Built-up,Unknown,RESALE,House,7.25,5.183333333333334,Medium,Low Floor
2222,Sector 46,3,3,3,900.0,Super Built-up,North-East,RESALE,House,4.0,10.24962962962963,Low,Low Floor
2223,Sector 48,4,4,4,3240.0,Super Built-up,Unknown,RESALE,House,12.0,9.550147058823528,Low,Low Floor
2224,Sector 46,3,3,3,1440.0,Super Built-up,North-East,RESALE,House,5.5,10.24962962962963,Low,Low Floor
2225,Sector 14,3,3,3,4518.0,Super Built-up,North,RESALE,House,14.0,9.61875,Low,Low Floor
2226,Sector 14,4,4,4,4518.0,Super Built-up,Unknown,RESALE,House,12.6,9.61875,Low,Low Floor
2227,Sector 14,2,2,2,2250.0,Super Built-up,North,RESALE,House,6.7,9.61875,Low,Low Floor
2228,New Colony,3,3,3,1710.0,Super Built-up,Unknown,RESALE,House,4.05,5.525,Low,Low Floor
2229,Block S Uppals Southend,5,5,5,2799.0,Super Built-up,North-East,RESALE,House,10.1,9.39,Low,Low Floor
2230,Sector 14,3,3,3,4518.0,Super Built-up,Unknown,RESALE,House,12.5,9.61875,Low,Low Floor
2231,Sector 14,3,3,3,2250.0,Super Built-up,North,RESALE,House,6.75,9.61875,Low,Low Floor
2232,Sector 33,7,8,7,10800.0,Super Built-up,Unknown,RESALE,House,31.0,13.652424242424244,Low,Low Floor
2233,Sector-33 Sohna,4,4,4,3105.0,Super Built-up,North-East,RESALE,House,10.0,6.4413829787234045,Medium,Low Floor
2234,Sector 45,6,6,6,1836.0,Built-up,North-East,RESALE,House,7.5,6.526818181818182,Low,Low Floor
2235,Sector 40,5,5,5,1449.0,Built-up,Unknown,RESALE,House,5.0,6.006,Low,Low Floor
2236,Nirvana Country,5,5,5,2700.0,Super Built-up,Unknown,RESALE,House,8.5,9.31625,Medium,Low Floor
2237,Sector 71,4,5,4,2160.0,Covered,North,RESALE,House,5.75,5.482307692307692,Medium,Low Floor
2238,Sector 46,8,8,8,2368.0,Super Built-up,East,RESALE,House,9.45,10.24962962962963,Medium,Low Floor
2239,Sector 33,5,6,5,4500.0,Built-up,North,RESALE,House,12.0,13.652424242424244,High,Mid Floor
2240,Sector 9,5,3,5,2367.0,Super Built-up,North-East,RESALE,House,6.2,3.95,Low,Low Floor
2241,Sector 22,4,4,4,2368.0,Super Built-up,Unknown,RESALE,House,7.0,7.725,Low,Low Floor
2242,Sector 22,3,3,3,2367.0,Super Built-up,North-East,RESALE,House,6.75,7.725,Low,Low Floor
2243,Sector 22,3,3,3,2367.0,Super Built-up,North-East,RESALE,House,6.75,7.725,Low,Low Floor
2244,Sector 66,4,4,4,2583.0,Super Built-up,Unknown,RESALE,House,13.0,8.949036144578313,Medium,Low Floor
2245,"Block C, Sushant Lok Phase 1",5,5,5,540.0,Covered,North-East,RESALE,House,2.5,8.013333333333334,Medium,Low Floor
2246,"Block C, Sushant Lok Phase 1",11,11,11,540.0,Super Built-up,North-East,RESALE,House,3.35,8.013333333333334,Low,Low Floor
